sentence,np,vp,ner_rich
"particular subject area such as medical science, whereas others deal with a specific type of
","['particular subject area', 'medical science', 'whereas others', 'specific type']
","['deal'] 
",0
"document such as patent texts.
","['document patent texts']
","[] 
",0
"Abstracting
","[]
","['Abstracting'] 
",0
"Automatic abstracting and text summarization are now used synonymously that aim to generate
","['text summarization', 'aim generate']
","['abstracting', 'used'] 
",1
"abstracts or summaries of texts.
","['abstracts summaries']
","['texts'] 
",0
"This area of NLP research  is becoming more common in the web
","['This area NLP research', 'common web']
","['becoming'] 
",0
"and digital library environment.
","['digital library environment']
","[] 
",0
"In simple abstracting or summarization systems, parts of text –
","['summarization systems', 'parts', '–']
","['abstracting', 'text'] 
",1
"sentences or paragraphs – are selected automatically based on some linguistic and/or statistical
","['sentences', 'linguistic and/or']
","['paragraphs – selected', 'automatically based'] 
",1
"criteria to produce the abstract or summary.
","['criteria', 'abstract summary']
","['produce'] 
",0
"More sophisticated systems may merge two or more
","['sophisticated systems']
","['merge'] 
",0
" 8
","[]
","[] 
",0
"sentences, or parts thereof, to generate one coherent sentence, or may generate simple summaries
","['sentences', 'parts thereof', 'coherent sentence', 'simple summaries']
","['generate', 'generate'] 
",1
"from discrete items of data.
","['discrete items data']
","[] 
",0
"Recent interests in automatic abstracting and text summarization are reflected by the huge
","['Recent interests', 'text summarization']
","['abstracting', 'reflected'] 
",1
"number of research papers appearing in a number of international conferences and workshops
","['number research papers', 'number', 'international conferences']
","['appearing', 'workshops'] 
",1
"including ACL, ACM, AAAI,  SIGIR, and various national and regional chapters of the
","['ACL', 'ACM', 'AAAI', 'SIGIR', 'various national regional chapters']
","['including'] 
",0
"Associations.
","['Associations']
","[] 
",0
"Several techniques are used for automatic abstracting and text summarization.
","['Several techniques', 'text summarization']
","['used', 'abstracting'] 
",1
"Goldstein et al.. (1999) use conventional IR methods  and linguistic cues for extracting and
","['Goldstein', 'al ..', 'conventional IR methods', 'linguistic cues']
","['use', 'extracting'] 
",1
"ranking sentences for generating news article summaries.
","['sentences', 'news article summaries']
","['ranking', 'generating'] 
",1
"A number of studies on text
","['A number studies']
","['text'] 
",0
"summarization have been reported recently.
","['summarization']
","['reported'] 
",0
"Silber and McCoy (2000) claim that their  linear time
","['Silber McCoy', 'claim', 'linear time']
","[] 
",0
"algorithm for calculating lexical chains is an efficient  method for preparing automatic
","['algorithm', 'lexical chains', 'efficient method']
","['calculating', 'preparing'] 
",1
"summarization of  documents.
","['summarization documents']
","[] 
",0
"Chuang and Yang (2000) report a text summarization technique
","['Chuang Yang', 'report', 'text summarization technique']
","[] 
",0
"using  cue phrases appearing in the texts of US patent abstracts.
","['cue phrases', 'texts US patent abstracts']
","['using', 'appearing'] 
",1
"Roux and  Ledoray (2000) report a project, called  Aristotle, that aims to build an automatic
","['Roux Ledoray', 'report project', 'Aristotle']
","['called', 'aims build'] 
",1
"medical data system that is capable of producing a semantic representation of the text in a
","['medical data system', 'semantic representation text']
","['producing'] 
",0
"canonical form.
","['canonical form']
","[] 
",0
"Song  and  Zhao (2000) propose a method of automatic abstracting that integrates
","['Song Zhao', 'method automatic abstracting integrates']
","['propose'] 
",0
"the advantages of  both linguistic and statistical analysis in a corpus.
","['advantages', 'linguistic statistical analysis corpus']
","[] 
",0
"Jin and  Dong-Yan (2000)
","['Jin Dong-Yan']
","[] 
",0
"propose a methodology for generating automatic abstracts that  provides an integration of the
","['propose methodology', 'automatic abstracts', 'integration']
","['generating', 'provides'] 
",1
"advantages of methods based on linguistic analysis and those based on statistics.
","['advantages methods', 'linguistic analysis', 'statistics']
","['based', 'based'] 
",1
"Moens and Uyttendaele (1997) describe the SALOMON (Summary and Analysis of Legal texts
","['Moens Uyttendaele', 'describe SALOMON', 'Summary Analysis Legal texts']
","[] 
",0
"FOR Managing Online Needs) project that automatically summarizes legal texts written in Dutch.
","['Online Needs', 'project', 'summarizes legal texts', 'Dutch']
","['Managing', 'written'] 
",1
"The system extracts relevant information from the full texts of Belgian criminal cases and uses it
","['The system', 'relevant information', 'full texts', 'Belgian criminal cases uses']
","['extracts'] 
",0
"to summarize  each decision.
","['summarize decision']
","[] 
",0
"A text grammar represented as a semantic network is used to
","['A text grammar', 'semantic network']
","['represented', 'used'] 
",1
"determine the category of each case.
","['determine category case']
","[] 
",0
"The system extracts relevant information about each case,
","['The system', 'relevant information case']
","['extracts'] 
",0
"such as the name of the court that issues the decision, the decision date, the offences charged, the
","['name court issues decision', 'decision date', 'offences']
","['charged'] 
",0
"relevant statutory provisions disclosed by the court, as well as the legal principles applied in the
","['relevant statutory provisions', 'court', 'legal principles']
","['disclosed', 'applied'] 
",1
"case.
","['case']
","[] 
",0
"RAFI (resume automatique a fragments indicateurs) is an automatic text summarization
","['RAFI', 'automatique fragments', 'automatic text summarization']
","['resume', 'indicateurs'] 
",1
"system that transforms full text scientific and technical documents into condensed texts
","['system', 'full text', 'scientific technical documents', 'texts']
","['transforms', 'condensed'] 
",1
"(Lehmam, 1999).
","['Lehmam']
","[] 
",0
"RAFI adopts  discourse analysis technique using a thesaurus for recognition
","['RAFI adopts', 'discourse analysis technique', 'thesaurus recognition']
","['using'] 
",0
"and selection of the  most pertinent elements of texts.
","['selection pertinent elements']
","['texts'] 
",0
"The system assumes a typical structure of
","['The system', 'typical structure']
","['assumes'] 
",0
"areas from each scientific document, viz.
","['areas', 'scientific document', 'viz']
","[] 
",0
"previous knowledge, content, method and new
","['previous knowledge', 'content']
","[] 
",0
"knowledge.
","['knowledge']
","[] 
",0
" 9
","[]
","[] 
",0
"Most of the automatic abstracting and text summarization systems work satisfactorily within a
","['text summarization systems']
","['abstracting', 'work'] 
",1
"small text collection  or within a restricted domain.
","['small text collection', 'domain']
","['restricted'] 
",0
"Building robust and domain-independent
","['robust domain-independent']
","['Building'] 
",0
"systems is a complex and resource-intensive task.
","['systems', 'complex resource-intensive task']
","[] 
",0
"Arguing that purely automatic abstracting
","['automatic abstracting']
","['Arguing'] 
",0
"systems do not always produce useful results, Craven (1988, 1993, 2000) proposes a hybrid
","['systems', 'useful results', 'Craven']
","['always produce', 'proposes'] 
",1
"abstracting system in which some tasks are performed by human abstractors and others by an
","['system tasks', 'human abstractors others']
","['abstracting', 'performed'] 
",1
"abstractor’s assistance software called TEXNET.
","['abstractor', 'assistance software', 'TEXNET']
","['’', 'called'] 
",1
"However, recent experiments on the usefulness
","['recent experiments']
","[] 
",0
"of the automatically extracted keywords and phrases from full texts by TEXNET in the actual
","['keywords', 'full texts TEXNET']
","['automatically extracted', 'phrases'] 
",1
"process of abstracting by human abstractors showed some considerable variation among subjects,
","['process', 'human abstractors', 'considerable variation', 'subjects']
","['abstracting', 'showed'] 
",1
"and only 37% of the subjects found the keywords and phrases to be useful in writing their
","['% subjects', 'keywords phrases']
","['found', 'writing'] 
",1
"abstracts (Craven, 2000).
","['abstracts', 'Craven']
","[] 
",0
"Information Extraction
","['Information Extraction']
","[] 
",0
"Knowledge discovery and data mining have become important areas of research over the past few
","['Knowledge discovery data mining become', 'important areas research past']
","[] 
",0
"years and a number of information science  journals have published special issues reporting
","['years number information science journals', 'special issues']
","['published', 'reporting'] 
",1
"research on these topics (see for example, Benoit, 2001;Qin and Norton, 1999; Raghavan et al..,
","['research topics', 'example', 'Benoit', 'Qin Norton', 'Raghavan', 'al ..']
","['see'] 
",0
"1998; Trybula, 1997; Vickery, 1997).
","['Trybula', 'Vickery']
","[] 
",0
"Knowledge discovery and data mining research use a
","['Knowledge discovery data mining research use']
","[] 
",0
"variety of techniques in order to extract useful information from source documents.
","['variety techniques order', 'extract useful information source documents']
","[] 
",0
"Information
","['Information']
","[] 
",0
"extraction (IE) is a subset of  knowledge discovery and data mining research that  aims to extract
","['extraction', 'IE', 'knowledge discovery data mining research', 'extract']
","['subset', 'aims'] 
",1
"useful bits of textual information from natural language texts  (Gaizauskas & Wilks, 1998).
","['useful bits', 'textual information', 'natural language texts', 'Gaizauskas', 'Wilks']
","[] 
",0
"A
","[]
","[] 
",0
"variety of information extraction (IE) techniques are used and the extracted information can be
","['variety information extraction', 'IE', 'techniques', 'information']
","['used extracted'] 
",0
"used for a number of purposes, for example to prepare a summary of texts, to populate databases,
","['number purposes', 'example prepare', 'summary texts', 'populate databases']
","['used'] 
",0
"fill-in slots in frames, identify keywords and phrase for information retrieval, and so on.
","['fill-in slots frames', 'keywords', 'information retrieval']
","['identify', 'phrase'] 
",1
"IE
","['IE']
","[] 
",0
"techniques are also used for classifying text items according to some pre-defined categories.
","['techniques', 'text items', 'pre-defined categories']
","['also used classifying', 'according'] 
",1
"An
","[]
","[] 
",0
"earlier example of text categorization system is CONSTRUE, developed for Reuters,  that
","['example', 'categorization system CONSTRUE', 'Reuters']
","['developed'] 
",0
"classifies news stories (Hayes, 1992).
","['classifies news stories', 'Hayes']
","[] 
",0
"The CONSTRUE software was subsequently generalized
","['The CONSTRUE software']
","['subsequently generalized'] 
",0
"into a commercial product called TCS (Text Categorization Shell).
","['commercial product', 'TCS', 'Text Categorization Shell']
","['called'] 
",0
"An evaluation of five text
","['An evaluation', 'text']
","[] 
",0
"categorization systems has been reported by Yang and Liu (1999).
","['categorization systems', 'Yang Liu']
","['reported'] 
",0
"Morin (1999) suggests that although many IE systems can successfully extract terms from
","['Morin', 'many IE systems', 'extract terms']
","['suggests'] 
",0
"documents, acquisition of relations between terms is still a difficulty.
","['documents', 'acquisition relations terms', 'difficulty']
","[] 
",0
"PROMETHEE is a system
","['PROMETHEE system']
","[] 
",0
"that extracts lexico-syntactic patterns relative to a specific conceptual relation from technical
","['extracts', 'lexico-syntactic patterns', 'relative specific conceptual relation']
","[] 
",0
" 10
","[]
","[] 
",0
"corpora (Morin,1999).
","['corpora', 'Morin,1999']
","[] 
",0
"Bondale et al..  (1999) suggest that IE systems must operate at many
","['Bondale', 'al ..', 'IE systems']
","['suggest', 'operate'] 
",1
"levels, from word recognition to discourse analysis at the level of the complete document.
","['levels', 'word recognition discourse analysis level', 'complete document']
","[] 
",0
"They
","[]
","[] 
",0
"report an application of the Blank Slate Language Processor (BSLP) approach for the analysis of
","['report application Blank Slate Language Processor', 'BSLP', 'approach analysis']
","[] 
",0
"a real life natural language corpus that consists of responses to open-ended questionnaires in the
","['real life', 'natural language corpus', 'open-ended questionnaires']
","['consists responses'] 
",0
"field of advertising.
","['field advertising']
","[] 
",0
"Glasgow et al.. (1998) report a system called MITA (Metlife’s Intelligent Text Analyzer) that
","['Glasgow', 'al ..', 'report system', 'MITA', 'Metlife ’ Intelligent Text Analyzer']
","['called'] 
",0
"extracts information from life insurance applications.
","['extracts information life insurance applications']
","[] 
",0
"Ahonen et al.. (1998) propose a general
","['Ahonen', 'al ..']
","['propose'] 
",0
"framework for text mining that uses pragmatic and discourse level analyses of text.
","['framework text mining', 'pragmatic discourse level', 'text']
","['uses', 'analyses'] 
",1
"Sokol et al..
","['Sokol', 'al ..']
","[] 
",0
"(2000)  report research that uses  visualization and NLP  technologies to perform text mining.
","['report research', 'visualization NLP technologies', 'text mining']
","['uses', 'perform'] 
",1
"Heng-Hsou et al.. (2000) argue that IE systems are usually event-driven (i.e.-, are usually based on
","['Heng-Hsou', 'al ..', 'argue IE systems']
","['usually based'] 
",0
"domain knowledge built on various events) and  propose an event detection driven intelligent
","['domain knowledge', 'various events', 'event detection', 'intelligent']
","['built', 'propose', 'driven'] 
",1
"information extraction by using the neural network paradigm.
","['information extraction', 'neural network paradigm']
","['using'] 
",0
"They use the backpropagation (BP)
","['backpropagation', 'BP']
","['use'] 
",0
"learning algorithm to train the event detector, and  apply NLP technology to aid the selection of
","['algorithm train event detector', 'NLP technology aid selection']
","['learning', 'apply'] 
",1
"nouns as feature words which are supposed to characterize documents appropriately.
","['nouns feature words', 'characterize documents']
","['supposed'] 
",0
"These nouns
","['These nouns']
","[] 
",0
"are stored in ontology as a knowledge base, and are used  for the extraction of useful information
","['stored ontology knowledge base', 'extraction', 'useful information']
","['used'] 
",0
"from e-mail messages.
","['e-mail messages']
","[] 
",0
"Cowie and Lehnert (1996) reviewed the earlier research on IE and commented that the NLP
","['Cowie Lehnert', 'research IE', 'NLP']
","['reviewed', 'commented'] 
",1
"research community is ill-prepared to tackle the difficult problems of semantic feature-tagging,
","['research community', 'ill-prepared tackle', 'difficult problems', 'semantic feature-tagging']
","[] 
",0
"co-reference resolution, and discourse analysis, all of which are important issues of IE research.
","['co-reference resolution', 'discourse analysis', 'important issues IE research']
","[] 
",0
"Gaizauskas and Wilks (1998) reviewed the IE research from its origin in the Artificial
","['Gaizauskas Wilks', 'IE research origin Artificial']
","['reviewed'] 
",0
"Intelligence world in the sixties and seventies through to the modern days.
","['Intelligence world sixties seventies', 'modern days']
","[] 
",0
"They discussed the
","[]
","['discussed'] 
",0
"major IE projects undertaken in different sectors, viz., Academic Research.
","['major IE projects', 'different sectors', 'viz.', 'Academic Research']
","['undertaken'] 
",0
"Employment, Fault
","['Employment', 'Fault']
","[] 
",0
"Diagnosis, Finance, Law, Medicine, Military Intelligence, Police, Software System Requirements
","['Diagnosis', 'Finance', 'Law', 'Medicine', 'Military Intelligence', 'Police', 'Software System Requirements']
","[] 
",0
"Specification, and Technology/Product Tracking.
","['Specification', 'Technology/Product Tracking']
","[] 
",0
"Chowdhury (1999a) reviewed research that used template mining techniques in: the extraction of
","['Chowdhury', 'research', 'template mining techniques', 'extraction']
","['reviewed', 'used'] 
",1
"proper names from full text documents, extraction of facts from press releases, abstracting
","['proper names', 'full text documents', 'extraction facts press releases']
","['abstracting'] 
",0
"scientific papers, summarizing new product information, extracting specific information  from
","['scientific papers', 'new product information', 'specific information']
","['summarizing', 'extracting'] 
",1
"chemical texts, and so on.
","['chemical texts']
","[] 
",0
"He also discussed how some web search engines use templates to
","['web search engines', 'templates']
","['also discussed', 'use'] 
",1
"facilitate information retrieval.
","['facilitate information retrieval']
","[] 
",0
"He recommends that if  each web author is given a template to
","['web author', 'template']
","['recommends', 'given'] 
",1
"fill-in in order to characterize his/her document, then eventually a more controlled and systematic
","['fill-in order characterize his/her document']
","['eventually controlled'] 
",0
"method of creating document surrogates can be achieved.
","['method', 'document surrogates']
","['creating', 'achieved'] 
",1
"However, he warns that  a single all-
","['single all-']
","['warns'] 
",0
" 11
","[]
","[] 
",0
"purpose metadata format will not be applicable for all authors in all the domains, and further
","['purpose metadata', 'applicable authors domains']
","[] 
",0
"research is necessary to come up with appropriate formats for each.
","['research', 'appropriate formats']
","['come'] 
",0
"Arguing that IR has been the subject of research and development and has been delivering
","['IR', 'subject research development']
","['Arguing', 'delivering'] 
",1
"working solutions for many decades whereas IE is a more recent and emerging technology,
","['solutions', 'many decades', 'IE', 'technology']
","['working', 'whereas', 'emerging'] 
",1
"Smeaton (1997) comments that it is of interest to the IE community to see how a related task,
","['Smeaton', 'comments interest IE community', 'task']
","['see related'] 
",0
"perhaps the most-related task, IR, has managed to use the NLP base technology in its
","['most-related task', 'IR', 'use NLP base technology']
","['managed'] 
",0
"development so far.
","['development']
","[] 
",0
"Commenting on the future challenges of IE researchers, Gaizauskas and
","['future challenges IE researchers', 'Gaizauskas']
","['Commenting'] 
",0
"Wilks (1998) mention that the  performance levels of  the common IE systems, which stand in the
","['Wilks', 'mention performance levels', 'common IE systems']
","['stand'] 
",0
"range of  50% for combined recall and precision, should improve significantly to satisfy
","['%', 'recall precision']
","['range', 'combined', 'improve significantly satisfy'] 
",1
"information analysts.
","['information analysts']
","[] 
",0
"A major stumbling block  of IE systems development is the cost of
","['block IE systems development cost']
","['stumbling'] 
",0
"development.
","['development']
","[] 
",0
"CONSTRUE, for example required 9.5 person years of effort (Hayes & Weinstein,
","['CONSTRUE', 'example', 'person years effort', 'Hayes', 'Weinstein']
","['required'] 
",0
"1991).
","[]
","[] 
",0
"Portability and scalability are also two big issues for IE systems.
","['Portability scalability', 'big issues IE systems']
","[] 
",0
"Since they depend
","['depend']
","[] 
",0
"heavily on the domain knowledge, a given IE system may work satisfactorily in a relatively
","['domain knowledge', 'IE system']
","['given', 'work'] 
",1
"smaller text collection, but it may not perform well  in a  larger collection, or in a different
","['text collection', 'collection']
","['perform'] 
",0
"domain.
","['domain']
","[] 
",0
"Alternative technologies are now being used to overcome these problems.
","['Alternative technologies', 'overcome problems']
","['used'] 
",0
"Adams (2001)
","['Adams']
","[] 
",0
"discusses the merits of the NLP and the wrapper induction technology in information extraction
","['discusses merits NLP', 'induction technology information extraction']
","[] 
",0
"from the web documents.
","['web documents']
","[] 
",0
"In contrast to NLP, wrapper induction operates independently of
","['contrast NLP', 'induction']
","['operates'] 
",0
"specific domain knowledge.
","['specific domain knowledge']
","[] 
",0
"Instead of analysing the meaning of discourse at the sentence level,
","['discourse sentence level']
","['Instead analysing meaning'] 
",0
"the wrapper technology identifies relevant content based on the textual qualities that surround
","['technology identifies', 'content', 'textual qualities']
","['relevant', 'based', 'surround'] 
",1
"desired data.
","['data']
","['desired'] 
",0
"Wrappers operate on the surface features of document texts that characterize training
","['Wrappers', 'surface features', 'texts characterize training']
","['operate', 'document'] 
",1
"examples.
","['examples']
","[] 
",0
"A number of vendors, such as Jango (purchased by Excite), Junglee (purchased by
","['A number vendors', 'Jango', 'Excite', 'Junglee']
","['purchased', 'purchased'] 
",1
"Amazon), and Mohomine employ wrapper induction technology (Adams, 2001).
","['Amazon', 'Mohomine', 'induction technology', 'Adams']
","['employ'] 
",0
"Information Retrieval
","['Information Retrieval']
","[] 
",0
"Information retrieval has been a major area of application of NLP, and consequently a  number of
","['Information retrieval', 'major area application NLP', 'number']
","[] 
",0
"research projects, dealing with the various applications on NLP in IR, have taken place
","['research projects', 'various applications NLP IR', 'place']
","['dealing', 'taken'] 
",1
"throughout the world resulting in a large volume of publications.
","['world', 'large volume publications']
","['resulting'] 
",0
"Lewis and Sparck Jones (1996)
","['Lewis Sparck Jones']
","[] 
",0
"comment that the generic challenge for NLP in the field of IR  is whether the necessary NLP of
","['comment', 'generic challenge NLP field IR', 'necessary NLP']
","[] 
",0
"texts and queries is doable, and the specific challenges are whether non-statistical and statistical
","['texts queries']
","['challenges'] 
",0
"data can be combined and whether data about individual documents and whole files can be
","['data', 'data', 'individual documents', 'whole files']
","['combined'] 
",0
"combined.
","[]
","['combined'] 
",0
"They further comment that there are major challenges in making the NLP technology
","['major challenges', 'NLP technology']
","['comment', 'making'] 
",1
" 12
","[]
","[] 
",0
"operate effectively and efficiently and also in conducting appropriate evaluation tests to assess
","['appropriate evaluation tests']
","['operate effectively efficiently also conducting', 'assess'] 
",1
"whether and how far the approach works in an environment of interactive searching of large text
","['approach', 'environment', 'large text']
","['works', 'searching'] 
",1
"files.
","['files']
","[] 
",0
"Feldman (1999) suggests that in order to achieve success in IR, NLP techniques should be
","['Feldman', 'order achieve success IR', 'NLP techniques']
","['suggests'] 
",0
"applied in conjunction with other technologies, such as visualization, intelligent agents and
","['conjunction technologies', 'visualization', 'intelligent agents']
","['applied'] 
",0
"speech recognition.
","['speech recognition']
","[] 
",0
"Arguing that  syntactic phrases are more meaningful than statistically obtained word pairs, and
","['syntactic phrases', 'word pairs']
","['Arguing', 'statistically obtained'] 
",1
"thus are more powerful for discriminating among documents, Narita and Ogawa (2000)
","['documents', 'Narita Ogawa']
","['discriminating'] 
",0
"use a shallow syntactic processing instead of statistical processing to automatically identify
","['use', 'shallow syntactic processing']
","['processing automatically identify'] 
",0
"candidate phrasal terms from query texts.
","['candidate phrasal terms', 'texts']
","['query'] 
",0
"Comparing the performance of  Boolean and natural
","['performance Boolean']
","['Comparing'] 
",0
"language searches,  Paris and Tibbo (1998) found  that in their experiment, Boolean searches  had
","['language searches', 'Paris Tibbo', 'experiment', 'Boolean searches']
","['found'] 
",0
"better results than freestyle (natural language) searches.
","['results', 'natural language', 'searches']
","[] 
",0
"However, they concluded that  neither
","[]
","['concluded'] 
",0
"could be considered as the best for every query.
","['every query']
","['considered'] 
",0
"In other words, their conclusion was that
","['words', 'conclusion']
","[] 
",0
"different queries demand different techniques.
","['different queries', 'different techniques']
","['demand'] 
",0
"Pirkola (2001) shows that languages vary significantly in their morphological properties.
","['Pirkola', 'languages', 'morphological properties']
","['shows', 'vary'] 
",1
"However,  for each language there are two variables that describe the morphological complexity,
","['language', 'variables', 'morphological complexity']
","[] 
",0
"viz.,  index of synthesis (IS) that describes the amount of affixation in an individual language, i.e.-,
","['viz.', 'index synthesis', 'IS', 'amount affixation', 'individual language']
","['describes'] 
",0
"the average number of morphemes per word in the language;  and index of fusion (IF) that
","['average number morphemes', 'word language', 'index fusion', 'IF']
","[] 
",0
"describes the ease with which two morphemes can be separated in a language.
","['describes ease', 'morphemes', 'separated language']
","[] 
",0
"Pirkola (2001)
","['Pirkola']
","[] 
",0
"shows that calculation of the ISs and IFs in a language is a relatively simple task, and once they
","['shows calculation ISs IFs language', 'simple task']
","[] 
",0
"have been established,  they could be utilized fruitfully in empirical IR research and system
","['empirical IR research system']
","['established', 'utilized'] 
",1
"development.
","['development']
","[] 
",0
"Variations in presenting subject matter  greatly affect IR and hence linguistic variation of
","['Variations', 'subject matter', 'affect IR hence', 'linguistic variation']
","['presenting'] 
",0
"document texts is one of the greatest challenges to IR.
","['document', 'greatest', 'IR']
","['texts', 'challenges'] 
",1
"In order to investigate how consistently
","['order investigate']
","[] 
",0
"newspapers choose words and concepts to describe an event, Lehtokangas & Jarvelin (2001)
","['newspapers', 'words concepts', 'describe event', 'Lehtokangas', 'Jarvelin']
","['choose'] 
",0
"chose articles on the same news from three Finnish newspapers.
","['chose articles news', 'Finnish newspapers']
","[] 
",0
"Their experiment revealed that
","['experiment']
","['revealed'] 
",0
"for short newswire  the consistency was 83% and for long articles 47%.
","['short newswire consistency', '%', '%']
","[] 
",0
"It was also revealed that
","[]
","['also revealed'] 
",0
"the newspapers were very consistent in using concepts to represent events, with a level of
","['newspapers', 'concepts represent events', 'level']
","['using'] 
",0
"consistency varying between 92-97%.
","['consistency', '%']
","['varying'] 
",0
" 13
","[]
","[] 
",0
"Khoo et al.. (2001) report an experiment that investigates whether information obtained by
","['Khoo', 'al ..', 'report experiment', 'information']
","['investigates', 'obtained'] 
",1
"matching cause-effect relations expressed in documents with the cause-effect relations expressed
","['cause-effect relations', 'documents', 'cause-effect relations']
","['matching', 'expressed', 'expressed'] 
",1
"in user queries can be used to improve results in document retrieval compared with the use of
","['user queries', 'results', 'document retrieval', 'use']
","['used improve', 'compared'] 
",1
"only the keywords without considering the relations.
","['keywords', 'relations']
","['considering'] 
",0
"Their experiment with the Wall Street
","['experiment Wall Street']
","[] 
",0
"Journal full text database revealed that causal relations matching where either the cause or the
","['Journal', 'full text database', 'causal relations', 'cause']
","['revealed', 'matching'] 
",1
"effect is a wildcard can be used to improve information retrieval effectiveness if the appropriate
","['effect wildcard', 'information retrieval effectiveness appropriate']
","['used improve'] 
",0
"weight for each type of matching can be determined for each query.
","['weight type matching', 'query']
","['determined'] 
",0
"However, the authors stress
","['authors']
","['stress'] 
",0
"that the results of this study were not as strong as they had expected it to be.
","['results']
","['study', 'expected'] 
",1
"Chandrasekar & Srinivas (1998) propose that coherent text contains significant latent
","['Chandrasekar', 'Srinivas', 'coherent text', 'significant latent']
","['propose', 'contains'] 
",1
"information, such as syntactic structure and patterns of language use, and this information could
","['information', 'syntactic structure patterns language use', 'information']
","[] 
",0
"be used  to improve the performance of information retrieval systems.
","['performance information retrieval systems']
","['used improve'] 
",0
"They describe a system,
","['system']
","['describe'] 
",0
"called Glean, that uses syntactic information for effectively filtering irrelevant documents, and
","['Glean', 'syntactic information', 'irrelevant documents']
","['called', 'uses', 'effectively filtering'] 
",1
"thereby improving the precision of information retrieval systems.
","['precision information retrieval systems']
","['thereby improving'] 
",0
"A number of tracks (research groups or themes) in the TREC series of experiments deal directly
","['A number tracks', 'research groups themes', 'TREC series experiments']
","['deal'] 
",0
"or indirectly with NLP and information retrieval, such as the cross-language track, filtering track,
","['NLP information retrieval', 'cross-language track', 'track']
","['filtering'] 
",0
"interactive track,  question-answering track, and the web track.
","['interactive track', 'question-answering track', 'web track']
","[] 
",0
"Reports of progress of the NLIR
","['Reports progress NLIR']
","[] 
",0
"(Natural Language Information Retrieval) project are available in the TREC reports (Perez-
","['Natural Language Information Retrieval', 'project', 'available TREC reports']
","[] 
",0
"Carballo & Strzalkowski, 2000;  Strzalkowski.
","['Carballo', 'Strzalkowski', 'Strzalkowski']
","[] 
",0
"et al.., 1997, 1998, 1999).
","['al ..']
","[] 
",0
"The major goal of this
","['The major goal']
","[] 
",0
"project has been to demonstrate that robust NLP techniques used for indexing and searching of
","['project demonstrate', 'robust NLP techniques']
","['used indexing searching'] 
",0
"text documents perform better compared to the simple keyword and string-based methods used in
","['text documents', 'simple keyword', 'string-based methods']
","['perform better compared', 'used'] 
",1
"statistical full-text retrieval (Strzalkowski, T. et al.., 1999).
","['statistical full-text retrieval', 'Strzalkowski', 'T.', 'al ..']
","[] 
",0
"However, results indicate that simple
","['results']
","['indicate'] 
",0
"linguistically motivated indexing (LMI)  did not prove to be more effective than well-executed
","['indexing', 'LMI']
","['linguistically motivated', 'prove'] 
",1
"statistical approaches in English language texts.
","['statistical approaches', 'English language texts']
","[] 
",0
"Nevertheless, it was noted that more detailed
","[]
","['noted'] 
",0
"search topic statements responded well to LMI compared to  terse one-sentence search queries.
","['search topic statements', 'LMI', 'terse one-sentence search queries']
","['responded', 'compared'] 
",1
"Thus, it was concluded that query expansion, using NLP techniques,  leads to a sustainable
","['query expansion', 'NLP techniques']
","['concluded', 'using', 'leads'] 
",1
"advances in IR effectiveness (Strzalkowski et al.., 1999).
","['advances IR effectiveness', 'Strzalkowski', 'al ..']
","['et'] 
",0
"Natural Language Interfaces
","['Natural Language Interfaces']
","[] 
",0
"A natural language interface is one that accepts query statements or commands in natural
","['A natural language interface', 'query statements']
","['accepts', 'commands'] 
",1
"language and sends data to some system, typically a retrieval system, which then results in
","['language', 'data system', 'retrieval system', 'results']
","['sends'] 
",0
" 14
","[]
","[] 
",0
"appropriate  responses to the commands or query statements.
","['appropriate responses', 'query statements']
","['commands'] 
",0
"A natural language interface should
","['A natural language interface']
","[] 
",0
"be able to translate the natural language statements into appropriate actions for the system.
","['able translate natural language statements', 'appropriate actions system']
","[] 
",0
"A large number of natural language interfaces that work reasonably well  in narrow domains have
","['A large number', 'natural language interfaces work', 'narrow domains']
","[] 
",0
"been reported in the literature (for review of such systems see Chowdhury, 1999b, Chapter
","['literature', 'review systems', 'Chowdhury', 'Chapter']
","['reported', 'see'] 
",1
"19;Haas, 1996; Stock, 2000).
","['Haas', 'Stock']
","[] 
",0
"Much of the efforts in natural language interface design to date have focused on handling rather
","['Much efforts', 'natural language interface design date']
","['focused handling'] 
",0
"simple natural language queries.
","['simple natural language queries']
","[] 
",0
"A number of question answering systems are now being
","['A number question', 'systems']
","['answering'] 
",0
"developed that aim to provide answers to natural language questions, as opposed to documents
","['aim provide answers', 'natural language questions', 'documents']
","['developed', 'opposed'] 
",1
"containing information related to the question.
","['information', 'question']
","['containing', 'related'] 
",1
"Such systems often use a variety of IE and IR
","['Such systems', 'variety IE IR']
","['often use'] 
",0
"operations using NLP tools and techniques to get the correct answer from the source texts.
","['operations', 'NLP tools techniques', 'correct answer source texts']
","['using', 'get'] 
",1
"Breck
","['Breck']
","[] 
",0
"et al.
","['et al']
","[] 
",0
"(1999) report  a question answering system that uses techniques from knowledge
","['report question', 'system', 'techniques knowledge']
","['answering', 'uses'] 
",1
"representation, information retrieval, and NLP.
","['representation', 'information retrieval', 'NLP']
","[] 
",0
"The authors claim that this combination enables
","['The authors', 'combination enables']
","['claim'] 
",0
"domain independence and robustness in the face of text variability, both in the question and in the
","['domain independence robustness face text variability', 'question']
","[] 
",0
